set_id,name,year,theme,subtheme,themeGroup,category,pieces,minifigs,agerange_min,US_retailPrice,bricksetURL,thumbnailURL,imageURL
7236-1,Police Car,2005,City,Police,Modern day,Normal,59,1,5,5.99,https://brickset.com/sets/7236-1,https://images.brickset.com/sets/small/7236-1.jpg,https://images.brickset.com/sets/images/7236-1.jpg
10144-1,Sandcrawler,2005,Star Wars,Episode IV,Licensed,Normal,1669,11,12,139.99,https://brickset.com/sets/10144-1,https://images.brickset.com/sets/small/10144-1.jpg,https://images.brickset.com/sets/images/10144-1.jpg
4962-1,Baby Zoo,2006,Duplo,LEGO Ville,Pre-school,Normal,18,1,2,9.99,https://brickset.com/sets/4962-1,https://images.brickset.com/sets/small/4962-1.jpg,https://images.brickset.com/sets/images/4962-1.jpg
6209-1,Slave I,2006,Star Wars,Episode V,Licensed,Normal,537,5,8,49.99,https://brickset.com/sets/6209-1,https://images.brickset.com/sets/small/6209-1.jpg,https://images.brickset.com/sets/images/6209-1.jpg
6211-1,Imperial Star Destroyer,2006,Star Wars,Episode IV,Licensed,Normal,1367,9,9,99.99,https://brickset.com/sets/6211-1,https://images.brickset.com/sets/small/6211-1.jpg,https://images.brickset.com/sets/images/6211-1.jpg
7700-1,Stealth Hunter,2006,Exo-Force,Original,Action/Adventure,Normal,164,1,7,14.99,https://brickset.com/sets/7700-1,https://images.brickset.com/sets/small/7700-1.jpg,https://images.brickset.com/sets/images/7700-1.jpg
7707-1,Striking Venom,2006,Exo-Force,Original,Action/Adventure,Normal,646,6,8,49.99,https://brickset.com/sets/7707-1,https://images.brickset.com/sets/small/7707-1.jpg,https://images.brickset.com/sets/images/7707-1.jpg
7880-1,Big Pirate Ship,2006,Duplo,Pirates,Pre-school,Normal,60,4,4,99.99,https://brickset.com/sets/7880-1,https://images.brickset.com/sets/small/7880-1.jpg,https://images.brickset.com/sets/images/7880-1.jpg
7881-1,Pirate Ship,2006,Duplo,Pirates,Pre-school,Normal,33,2,3,39.99,https://brickset.com/sets/7881-1,https://images.brickset.com/sets/small/7881-1.jpg,https://images.brickset.com/sets/images/7881-1.jpg
7882-1,Shark Attack,2006,Duplo,Pirates,Pre-school,Normal,13,1,3,19.99,https://brickset.com/sets/7882-1,https://images.brickset.com/sets/small/7882-1.jpg,https://images.brickset.com/sets/images/7882-1.jpg
